IdGame,Date,Home,Away,Bet,Odd,MaProba,UnibetProba,DiffProba,DateD
2648417_1,2023-02-26 14:00:00,UD Ibiza,Huesca,"D/A&P1,5",2.415,0.5,0.41407867494824013,0.08592132505175987,2023-02-26
2634435_1,2023-02-26 15:00:00,Clermont,Strasbourg,"H/A&P2,5",2.415,0.5,0.41407867494824013,0.08592132505175987,2023-02-26
2648400_1,2023-02-26 16:15:00,Celta Vigo,Valladolid,D/A,2.1420000000000003,0.55,0.46685340802987857,0.08314659197012148,2023-02-26
2673402_1,2023-02-26 14:30:00,Vitesse,Ajax Amsterdam,"D/A&P3,5",2.3939999999999997,0.5,0.41771094402673353,0.08228905597326647,2023-02-26
2649192_1,2023-02-26 12:30:00,Bologna,Inter Milan,"H/A&P2,5",2.121,0.55,0.47147571900047147,0.07852428099952857,2023-02-26
2634365_1,2023-02-26 14:30:00,Tottenham,Chelsea,"H/A&M3,5",1.7429999999999999,0.65,0.5737234652897304,0.07627653471026963,2023-02-26
2649200_1,2023-02-26 15:00:00,Salernitana,Monza,"D/A&P1,5",1.7429999999999999,0.65,0.5737234652897304,0.07627653471026963,2023-02-26
2634417_1,2023-02-26 15:00:00,Reims,Toulouse,"H/D&P2,5",2.3520000000000003,0.5,0.4251700680272108,0.0748299319727892,2023-02-26
2649200_1,2023-02-26 15:00:00,Salernitana,Monza,"H/A&M3,5",1.7325,0.6499999999999999,0.5772005772005773,0.07279942279942264,2023-02-26
2634427_1,2023-02-26 15:00:00,AC Ajaccio,Troyes,H,2.3310000000000004,0.5,0.42900042900042895,0.07099957099957105,2023-02-26
2673430_1,2023-02-26 17:00:00,Besiktas,Alanyaspor,H,1.7115,0.6499999999999999,0.5842827928717499,0.06571720712825002,2023-02-26
2653480_1,2023-02-26 14:00:00,Umraniyespor,Adana Demirspor,A,2.058,0.55,0.4859086491739553,0.06409135082604472,2023-02-26
2673568_1,2023-02-26 16:45:00,PSV Eindhoven,FC Twente,"H/D&M3,5",1.7010000000000003,0.65,0.5878894767783656,0.06211052322163446,2023-02-26
2668610_1,2023-02-26 19:00:00,Paços de Ferreira,Boavista FC,"H/A&P1,5",1.8585,0.6,0.5380683346785041,0.061931665321495855,2023-02-26
2673743_1,2023-02-26 14:15:00,FC Luzern,Grasshoppers,"D/A&M4,5",2.037,0.55,0.4909180166912126,0.059081983308787445,2023-02-26
2648418_1,2023-02-26 21:00:00,Real Oviedo,Albacete,"H/A&M2,5",2.037,0.55,0.4909180166912126,0.059081983308787445,2023-02-26
2675071_1,2023-02-26 19:15:00,Hapoel Jerusalem,Hapoel Haifa,"D/A&M3,5",1.848,0.6,0.5411255411255411,0.05887445887445886,2023-02-26
2650529_1,2023-02-26 18:00:00,Udinese,Spezia,D/A,2.2575,0.5,0.44296788482835,0.05703211517165002,2023-02-26
2634439_1,2023-02-26 15:30:00,Fribourg,Bayer Leverkusen,"H/A&P2,5",2.0265,0.55,0.4934616333580064,0.05653836664199363,2023-02-26
2662666_1,2023-02-26 18:30:00,Anderlecht,Standard Liege,D/A,1.8375000000000001,0.6,0.5442176870748299,0.05578231292517011,2023-02-26
2662583_1,2023-02-26 15:00:00,Levadiakos,Panetolikos,"D/A&P1,5",2.2470000000000003,0.5,0.4450378282153982,0.05496217178460178,2023-02-26
2634365_1,2023-02-26 14:30:00,Tottenham,Chelsea,"H/D&M3,5",1.827,0.6000000000000001,0.5473453749315819,0.052654625068418226,2023-02-26
2653480_1,2023-02-26 14:00:00,Umraniyespor,Adana Demirspor,"D/A&P2,5",2.0055,0.55,0.4986287708800798,0.05137122911992026,2023-02-26
2634416_1,2023-02-26 13:00:00,Lorient,Auxerre,"H/A&P1,5",1.6695000000000002,0.6499999999999999,0.5989817310572026,0.05101826894279726,2023-02-26
2673746_1,2023-02-26 14:00:00,Randers,Lyngby,"H/A&M3,5",1.785,0.6111111111111112,0.5602240896358543,0.05088702147525681,2023-02-26
2632093_1,2023-02-26 14:30:00,Wolfsberger,Rapid Vienna,"H/A&P2,5",1.785,0.611111111111111,0.5602240896358543,0.0508870214752567,2023-02-26
