Date,Home,Score,Away,ScoreH,ScoreA,But,Result,Ds,Hs,As,DA,DH,HA,LDEMs,LDEMPs
2022-11-11,Lyon,1 - 1,Nice,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-10-30,Lyon,1 - 0,Lille,1,0,1,Home,0,1,0,0,1,1,0,1
2022-10-07,Lyon,1 - 1,Toulouse,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-09-18,Lyon,0 - 1,Paris Saint-Germain ,0,1,1,Away,0,0,1,1,0,1,0,1
2022-09-03,Lyon,5 - 0,Angers,5,0,5,Home,0,1,0,0,1,1,0,1
2023-08-28,Lorient,2 - 1,Clermont Foot,2,1,3,Home,0,1,0,0,1,1,1,0
2023-02-19,Lorient,3 - 0,AC Ajaccio,3,0,3,Home,0,1,0,0,1,1,0,1
2023-02-05,Lorient,0 - 0,Angers,0,0,0,Draw,1,0,0,1,1,0,0,1
2023-01-27,Lorient,2 - 1,Stade Rennais,2,1,3,Home,0,1,0,0,1,1,1,0
2023-01-11,Lorient,2 - 2,AS Monaco,2,2,4,Draw,1,0,0,1,1,0,1,0
2022-12-29,Lorient,0 - 2,Montpellier,0,2,2,Away,0,0,1,1,0,1,0,1
2022-11-06,Lorient,1 - 2,Paris Saint-Germain ,1,2,3,Away,0,0,1,1,0,1,1,0
2022-10-30,Lorient,1 - 2,Nice,1,2,3,Away,0,0,1,1,0,1,1,0
2022-10-15,Lorient,0 - 0,Stade de Reims,0,0,0,Draw,1,0,0,1,1,0,0,1
2022-10-02,Lorient,2 - 1,Lille,2,1,3,Home,0,1,0,0,1,1,1,0
2022-09-11,Lorient,3 - 2,Nantes,3,2,5,Home,0,1,0,0,1,1,1,0
2022-09-07,Lorient,3 - 1,Lyon,3,1,4,Home,0,1,0,0,1,1,1,0
2023-08-31,Lille,1 - 2,Nice,1,2,3,Away,0,0,1,1,0,1,1,0
2023-08-21,Lille,1 - 7,Paris Saint-Germain ,1,7,8,Away,0,0,1,1,0,1,1,0
2023-08-07,Lille,4 - 1,AJ Auxerre,4,1,5,Home,0,1,0,0,1,1,1,0
2023-02-12,Lille,2 - 0,Strasbourg,2,0,2,Home,0,1,0,0,1,1,0,1
2023-02-01,Lille,0 - 0,Clermont Foot,0,0,0,Draw,1,0,0,1,1,0,0,1
2023-01-15,Lille,5 - 1,Troyes,5,1,6,Home,0,1,0,0,1,1,1,0
2023-01-02,Lille,1 - 1,Stade de Reims,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-11-13,Lille,1 - 0,Angers,1,0,1,Home,0,1,0,0,1,1,0,1
2022-11-06,Lille,1 - 1,Stade Rennais,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-10-23,Lille,4 - 3,AS Monaco,4,3,7,Home,0,1,0,0,1,1,1,0
2022-10-09,Lille,1 - 0,Lens,1,0,1,Home,0,1,0,0,1,1,0,1
